Specification,Network file,Epsilon,Delta,Time taken,SAT
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.05,1,12.332036018371582,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.05,2,16.22143006324768,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.05,3,21.554603099822998,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.05,4,31.019216299057007,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.05,5,26.534984827041626,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.05,6,50.93639922142029,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.05,7,21.06554388999939,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.05,8,38.86800694465637,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.05,9,19.86052894592285,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.05,10,19.061389923095703,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.05,11,26.267536878585815,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.05,12,44.5458619594574,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.05,13,46.19148802757263,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.05,14,36.2723388671875,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.05,15,44.402870893478394,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.05,16,29.879534006118774,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.05,17,47.322876930236816,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.05,18,25.97831702232361,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.05,19,35.109994888305664,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.05,20,36.77635312080383,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.060000000000000005,1,17.023985147476196,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.060000000000000005,2,19.37893295288086,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.060000000000000005,3,18.12446904182434,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.060000000000000005,4,30.35203528404236,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.060000000000000005,5,33.30391025543213,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.060000000000000005,6,33.291741132736206,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.060000000000000005,7,41.183181047439575,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.060000000000000005,8,28.757539749145508,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.060000000000000005,9,32.04675483703613,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.060000000000000005,10,26.365468740463257,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.060000000000000005,11,24.578200817108154,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.060000000000000005,12,23.73347783088684,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.060000000000000005,13,25.956732988357544,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.060000000000000005,14,24.289201021194458,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.060000000000000005,15,24.559507131576538,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.060000000000000005,16,23.638504028320312,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.060000000000000005,17,26.36384892463684,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.060000000000000005,18,24.365442037582397,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.060000000000000005,19,24.230096101760864,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.060000000000000005,20,24.829570055007935,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.07,1,20.554197072982788,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.07,2,21.47670602798462,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.07,3,22.44420289993286,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.07,4,25.923062801361084,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.07,5,36.49015808105469,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.07,6,49.95928382873535,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.07,7,60.45033812522888,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.07,8,74.5472629070282,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.07,9,59.81170392036438,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.07,10,49.48842477798462,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.07,11,51.849299907684326,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.07,12,48.84545826911926,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.07,13,48.195866107940674,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.07,14,51.41287612915039,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.07,15,44.84500694274902,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.07,16,33.923328161239624,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.07,17,42.88906788825989,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.07,18,44.991777658462524,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.07,19,23.680535793304443,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.07,20,31.020373106002808,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.08000000000000002,1,17.584962606430054,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.08000000000000002,2,20.677057027816772,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.08000000000000002,3,26.140696048736572,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.08000000000000002,4,31.378015995025635,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.08000000000000002,5,49.2214457988739,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.08000000000000002,6,65.19239401817322,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.08000000000000002,7,20.062297105789185,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.08000000000000002,8,31.253724098205566,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.08000000000000002,9,47.48298788070679,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.08000000000000002,10,42.6140410900116,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.08000000000000002,11,30.84725594520569,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.08000000000000002,12,32.86599802970886,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.08000000000000002,13,35.92587399482727,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.08000000000000002,14,40.637709856033325,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.08000000000000002,15,39.40798902511597,True
checking-confidence,../../networks/gtsrb/gtsrb_confidence_fc_exp2.onnx,0.08000000000000002,16,32.458133935928345,True
