Specification,Network file,Epsilon,Delta,Time taken,Upper bound,Lower bound,SAT
checking-confidence,../../networks/mnist/mnist_confidence_exp1.onnx,0.05,1,50.06656575202942,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp1.onnx,0.05,2,54.51401901245117,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp1.onnx,0.05,3,54.85987901687622,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp1.onnx,0.05,4,57.00988793373108,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp1.onnx,0.05,5,55.91907978057861,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp1.onnx,0.05,6,55.482821226119995,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp1.onnx,0.05,7,56.50767517089844,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp1.onnx,0.05,8,57.02351784706116,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp1.onnx,0.05,9,54.90749526023865,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp1.onnx,0.05,10,55.15359711647034,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp1.onnx,0.05,11,55.439279079437256,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp1.onnx,0.05,12,57.00029897689819,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp1.onnx,0.05,13,54.77827215194702,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp1.onnx,0.05,14,54.556190967559814,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp1.onnx,0.05,15,55.88701415061951,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp1.onnx,0.05,16,56.02395534515381,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp1.onnx,0.05,17,55.297260761260986,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp1.onnx,0.05,18,55.91478705406189,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp1.onnx,0.05,19,55.78215193748474,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp1.onnx,0.05,20,68.36520504951477,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp1.onnx,0.060000000000000005,1,71.35300302505493,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp1.onnx,0.060000000000000005,2,57.5145263671875,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp1.onnx,0.060000000000000005,3,55.262491941452026,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp1.onnx,0.060000000000000005,4,55.680580139160156,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp1.onnx,0.060000000000000005,5,55.192007064819336,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp1.onnx,0.060000000000000005,6,54.7495858669281,,,True
checking-confidence,../../networks/mnist/mnist_confidence_exp1.onnx,0.060000000000000005,7,55.107192039489746,,,True
